pool address, buy token address, buy token symbol, buy token amount, sell token address, sell token symbol, sell token amount, sender, receiver, dex, pool id, transaction hash, block number
0x5239873c892376799b6cb49a3cfb1146d4a260b8,0x6e9730ecffbed43fd876a264c982e254ef05a0de,NORD,1.0572E+020,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,9.69865364465532E+017,0xbf5ae133b9a0fc1a07952a7df2afa21f7f69ef58,0xe5fe54823175cc838ac0b8d23355293654dcbc5f,UniSwapV2,28230,0x8b2029be27e264f1759513156f80d9f1e6e6278c46f7515fc727631d6e046ae6,11965024
0xcbe190c83c34c68d80933edd8c43ba2fc698ff93,0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,1.40998052590023E+022,0x0bead9a1bcc1b84d06e3f2df67e3549fd55ab054,EURxb,1.05185258294984E+017,0x0000000000000000000000000000000000000000,0x4bb7fba588b4254536de4316e8fb346bbe275ecb,UniSwapV2,30279,0x96a4548b2a063449ea13fd237cc7eba0629ba6b6d3366f171d698107905f81ba,11965024
0x54965801946d768b395864019903aef8b5b63bb3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1.73101657616628E+018,0x155ff1a85f440ee0a382ea949f24ce4e0b751c65,EYE,1.5922132876415E+021,0xb8cf4befb74894f9760e4ec106991c33cd1a1027,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,UniSwapV2,10729,0xb250cdac66af1f095e8a773f98c9e679926de871c1bdcf6ffb257c7b538ae3a6,11965024
0x092e793afe54366601eb7ef7e63b6abb93edb485,0x0cdf9acd87e940837ff21bb40c9fd55f68bba059,MINT,2.75503968258293E+020,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1.57306916E+017,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0d1a4346ea475c2d86000389f6fcac6ea5ec712d,UniSwapV2,30352,0xc374e2b41b5b4ab7cdd667d84d6e2f2bf2055d2f79dd2667af4f5816b71bf05d,11965024
0x2702bd7268793b5e1c7ee1ac2d9cae2ae2ecfe55,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,3100783770,0x32a7c02e79c4ea1008dd6564b35f131428673c41,CRU,1.84338640515782E+020,0x469506e58d4d0d7abb476dd5c0a999d46723351f,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,UniSwapV2,9606,0xe7ccdb02bde7d8b504237c2e7d28d583be85799b34c8fc54a9e64da59c96b777,11965024
0x86fef14c27c78deaeb4349fd959caa11fc5b5d75,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,RARI,5.03701480050924E+020,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,7.2E+018,0xc40037dbe19d0e208904a5cfbd8edaa34a87958a,0xc40037dbe19d0e208904a5cfbd8edaa34a87958a,UniSwapV2,2687,0x0753aa0bc50f504f0540deac71cd59edd133f7150c0847d3af63d9f2ae91d1b4,11965025
0x0c722a487876989af8a05fffb6e32e45cc23fb3a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.92628773162335E+018,0x77777feddddffc19ff86db637967013e6c6a116c,TORN,3E+019,0x34a17418cec67b82d08cf77a987941f99dc87c6b,0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,UniSwapV2,26448,0x0f0faeca54fc5aa2ac7b96bb92d2c83a3ef7d42f80a53a8e9720239fbe121559,11965025
0x8927616110cf23c4e87dc98614eb9fbaae95216c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2.86982217544133E+017,0x68a3637ba6e75c0f66b61a42639c4e9fcd3d4824,MOON,4.93334355841765E+020,0xd852e79b694fd52303522a01bd45fe95c2cf5c15,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,UniSwapV2,8276,0x1e6a57e0c4bad569cf36f2522079d6846408514aa7b53005fb82585710c7b5a6,11965025
0xeab59cdd581e532a910b53f7396cd8fc27e49d6f,0x4fe5851c9af07df9e5ad8217afae1ea72737ebda,OPT,1.44522799063698E+020,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,459612906,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd852e79b694fd52303522a01bd45fe95c2cf5c15,UniSwapV2,30037,0x1e6a57e0c4bad569cf36f2522079d6846408514aa7b53005fb82585710c7b5a6,11965025
0xac317d14738a454ff20b191ba3504aa97173045b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.97374313847237E+018,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,SXP,2.55088096117821E+021,0x580ad04f386f762d9017552a4414bc906d204e3f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,1246,0x3b6152019489ec62f12ee19d557f71696caef2a54effb946b49bcbae4d1645e6,11965025
